referrer,views_total,views_unique
github.com,541,88
Google,180,79
thenewstack.io,46,38
fluxcd.io,40,29
infoworld.com,37,9
DuckDuckGo,12,6
mail.google.com,11,3
app.snyk.io,7,2
endtest.dev,4,4
getpocket.com,3,1
