url_path,views_total,views_unique
/weaveworks/weave-gitops,1128,575
/weaveworks/weave-gitops/tree/main/charts/gitops-server,402,95
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,249,74
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,188,83
/weaveworks/weave-gitops/releases,138,77
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,136,63
/weaveworks/weave-gitops/pulls,118,26
/weaveworks/weave-gitops/issues,114,48
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,109,52
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,101,25
