url_path,views_total,views_unique
/weaveworks/weave-gitops,754,482
/weaveworks/weave-gitops/tree/main/charts/gitops-server,229,51
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,170,71
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,134,32
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,93,38
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,92,37
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,76,19
/weaveworks/weave-gitops/issues,73,47
/weaveworks/weave-gitops/tree/main,50,25
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,47,19
