referrer,views_total,views_unique
github.com,144,47
weave.works,40,23
app.zenhub.com,39,8
Google,30,21
fluxcd.io,27,23
coveralls.io,2,2
issuehub.pro,1,1
goodfirstissues.com,1,1
github-help-wanted.com,1,1
