url_path,views_total,views_unique
/weaveworks/weave-gitops,524,344
/weaveworks/weave-gitops/pulls,188,13
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,57,54
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,55,27
/weaveworks/weave-gitops/releases,54,35
/weaveworks/weave-gitops/network/updates,45,1
/weaveworks/weave-gitops/tree/main/charts/gitops-server,39,24
/weaveworks/weave-gitops/issues,34,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,30,27
/weaveworks/weave-gitops/pull/5042,27,7
