referrer,views_total,views_unique
Google,2288,385
github.com,484,108
fluxcd.io,247,96
DuckDuckGo,73,15
Bing,23,10
statics.teams.cdn.office.net,14,12
wiki.bierochs.org,10,3
jira.anzx.service.anz,8,2
search.brave.com,7,6
codefresh.io,7,6
