referrer,views_total,views_unique
Google,2139,377
github.com,418,99
fluxcd.io,246,93
DuckDuckGo,72,14
Bing,38,11
statics.teams.cdn.office.net,14,12
wiki.bierochs.org,8,2
codefresh.io,6,5
thenewstack.io,6,4
jira.anzx.service.anz,6,2
