url_path,views_total,views_unique
/weaveworks/weave-gitops,428,287
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,55,52
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,46,28
/weaveworks/weave-gitops/tree/main/charts/gitops-server,41,21
/weaveworks/weave-gitops/releases,31,19
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,30,29
/weaveworks/weave-gitops/issues,24,14
/weaveworks/weave-gitops/tags,23,7
/weaveworks/weave-gitops/pulls,21,7
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,18,17
