url_path,views_total,views_unique
/weaveworks/weave-gitops,382,240
/weaveworks/weave-gitops/releases,45,33
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,41,37
/weaveworks/weave-gitops/tree/main/charts/gitops-server,32,15
/weaveworks/weave-gitops/pulls,29,7
/weaveworks/weave-gitops/issues,26,16
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,22,12
/weaveworks/weave-gitops/releases/tag/v0.39.1-rc.1,20,13
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,18,15
/weaveworks/weave-gitops/issues/5223,14,11
