referrer,views_total,views_unique
Google,798,263
github.com,302,111
fluxcd.io,188,115
DuckDuckGo,51,12
thenewstack.io,21,18
Bing,14,6
jira.media-saturn.com,14,2
mail.google.com,11,1
statics.teams.cdn.office.net,7,7
confluence-atg.riada.cloud,7,5
