referrer,views_total,views_unique
Google,701,177
github.com,625,119
fluxcd.io,49,32
mail.google.com,40,2
thenewstack.io,31,22
com.google.android.gm,23,6
rajputvaibhav.medium.com,14,11
gist.github.com,14,4
Bing,11,3
infoworld.com,5,4
