referrer,views_total,views_unique
Google,85,44
fluxcd.io,28,21
github.com,15,15
search.brave.com,11,3
DuckDuckGo,4,2
Bing,4,1
octopus.com,2,2
ecosia.org,1,1
thenewstack.io,1,1
yandex.ru,1,1
