referrer,views_total,views_unique
Google,113,51
github.com,36,27
fluxcd.io,30,20
search.brave.com,6,3
octopus.com,2,2
cloudnative.jimmysong.io,2,1
DuckDuckGo,1,1
thenewstack.io,1,1
yandex.kz,1,1
yandex.ru,1,1
