url_path,views_total,views_unique
/weaveworks/weave-gitops,1739,980
/weaveworks/weave-gitops/tree/main/charts/gitops-server,624,128
/weaveworks/weave-gitops/issues,335,168
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,289,75
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,284,126
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,165,71
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,146,35
/weaveworks/weave-gitops/releases,145,85
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,115,38
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,110,48
