url_path,views_total,views_unique
/weaveworks/weave-gitops,913,540
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,222,98
/weaveworks/weave-gitops/tree/main/charts/gitops-server,180,54
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,133,33
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,114,49
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,111,49
/weaveworks/weave-gitops/issues,109,66
/weaveworks/weave-gitops/releases,70,42
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,67,30
/weaveworks/weave-gitops/blob/main/doc/img/06-runtime.png,46,22
