referrer,views_total,views_unique
github.com,586,56
Google,73,35
app.zenhub.com,61,9
fluxcd.io,35,18
infoworld.com,19,14
weave.works,10,7
Bing,3,2
itworld.co.kr,2,2
DuckDuckGo,1,1
mail.google.com,1,1
