url_path,views_total,views_unique
/weaveworks/weave-gitops,1164,661
/weaveworks/weave-gitops/tree/main/charts/gitops-server,598,102
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,384,88
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,265,108
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,262,108
/weaveworks/weave-gitops/issues,221,52
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,198,41
/weaveworks/weave-gitops/pulls,125,26
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,101,29
/weaveworks/weave-gitops/blob/main/doc/img/03-rbac.jpg,96,37
