referrer,views_total,views_unique
github.com,510,81
Google,102,62
thenewstack.io,45,37
github-help-wanted.com,35,1
fluxcd.io,24,19
mail.google.com,12,1
infoworld.com,10,8
Baidu,5,5
app.zenhub.com,5,2
console.dev,4,4
