referrer,views_total,views_unique
Google,546,220
fluxcd.io,208,68
github.com,83,43
Bing,69,13
statics.teams.cdn.office.net,40,10
thenewstack.io,19,8
yandex.ru,12,2
DuckDuckGo,11,8
search.brave.com,10,4
pkg.go.dev,8,1
