referrer,views_total,views_unique
Google,526,201
github.com,210,85
fluxcd.io,91,47
thenewstack.io,30,21
t.co,22,3
Bing,15,5
rajputvaibhav.medium.com,14,13
pkg.go.dev,13,1
search.brave.com,9,2
statics.teams.cdn.office.net,7,5
