time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,394,120,99,32
2026-04-15 00:00:00+00:00,240,115,94,27
2026-04-16 00:00:00+00:00,201,79,50,16
2026-04-17 00:00:00+00:00,194,85,57,27
2026-04-18 00:00:00+00:00,209,51,35,14
2026-04-19 00:00:00+00:00,145,67,61,16
2026-04-20 00:00:00+00:00,323,133,72,29
2026-04-21 00:00:00+00:00,235,108,72,32
2026-04-22 00:00:00+00:00,243,108,101,34
2026-04-23 00:00:00+00:00,267,101,86,30
2026-04-24 00:00:00+00:00,246,107,77,30
2026-04-25 00:00:00+00:00,202,83,14,10
2026-04-26 00:00:00+00:00,197,83,14,11
2026-04-27 00:00:00+00:00,249,89,68,27
