url_path,views_total,views_unique
/weaveworks/weave-gitops,1331,711
/weaveworks/weave-gitops/tree/main/charts/gitops-server,365,107
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,257,71
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,203,103
/weaveworks/weave-gitops/pulls,168,28
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,161,42
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,150,83
/weaveworks/weave-gitops/issues,148,44
/weaveworks/weave-gitops/issues/3700,101,10
/weaveworks/weave-gitops/releases,98,63
