url_path,views_total,views_unique
/weaveworks/weave-gitops,321,213
/weaveworks/weave-gitops/releases,53,35
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,36,35
/weaveworks/weave-gitops/tree/main/charts/gitops-server,30,14
/weaveworks/weave-gitops/issues,21,17
/weaveworks/weave-gitops/pulls,19,9
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,13,9
/weaveworks/weave-gitops/pull/5345,13,2
/weaveworks/weave-gitops/releases/tag/v0.39.1-rc.1,12,9
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,11,10
