referrer,views_total,views_unique
Google,265,118
github.com,138,56
fluxcd.io,78,34
Bing,12,3
search.brave.com,9,6
statics.teams.cdn.office.net,8,6
ecosia.org,5,1
DuckDuckGo,3,2
chatgpt.com,3,1
windsock.io,3,1
