time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-13 00:00:00+00:00,471,20,262,74
2024-08-14 00:00:00+00:00,473,22,167,56
2024-08-15 00:00:00+00:00,453,18,141,41
2024-08-16 00:00:00+00:00,478,15,188,57
2024-08-17 00:00:00+00:00,432,11,37,20
2024-08-18 00:00:00+00:00,438,11,49,10
2024-08-19 00:00:00+00:00,501,24,209,50
2024-08-20 00:00:00+00:00,496,21,252,61
2024-08-21 00:00:00+00:00,468,15,186,55
2024-08-22 00:00:00+00:00,462,22,181,49
2024-08-23 00:00:00+00:00,440,21,137,52
2024-08-24 00:00:00+00:00,411,12,72,24
2024-08-25 00:00:00+00:00,392,12,8,6
2024-08-26 00:00:00+00:00,366,19,267,47
