referrer,views_total,views_unique
Google,1629,254
github.com,386,168
fluxcd.io,290,120
Bing,209,22
DuckDuckGo,75,6
t.co,27,21
cthub.internal.ericsson.com,22,2
thenewstack.io,18,13
codefresh.io,15,10
statics.teams.cdn.office.net,15,6
