time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-10 00:00:00+00:00,1942,233,210,50
2025-04-11 00:00:00+00:00,1411,259,142,54
2025-04-12 00:00:00+00:00,1045,100,60,10
2025-04-13 00:00:00+00:00,1529,149,170,25
2025-04-14 00:00:00+00:00,1359,202,105,50
2025-04-15 00:00:00+00:00,1367,199,160,50
2025-04-16 00:00:00+00:00,1335,263,163,57
2025-04-17 00:00:00+00:00,1712,250,124,39
2025-04-18 00:00:00+00:00,1317,165,91,36
2025-04-19 00:00:00+00:00,994,58,29,14
2025-04-20 00:00:00+00:00,994,49,31,14
2025-04-21 00:00:00+00:00,1178,142,54,29
2025-04-22 00:00:00+00:00,1480,268,141,54
2025-04-23 00:00:00+00:00,1271,248,132,48
