referrer,views_total,views_unique
github.com,128,34
Google,65,27
thenewstack.io,56,42
fluxcd.io,20,14
infoworld.com,12,11
link.zhihu.com,4,4
www-infoworld-com.cdn.ampproject.org,2,2
infoq.cn,1,1
feedly.com,1,1
Bing,1,1
