referrer,views_total,views_unique
github.com,598,47
Google,64,36
app.zenhub.com,46,8
infoworld.com,32,27
fluxcd.io,27,17
weave.works,21,11
DuckDuckGo,3,3
itworld.co.kr,3,1
ecosia.org,1,1
weaveworks.testspace.com,1,1
