time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-04 00:00:00+00:00,231,11,384,35
2021-10-05 00:00:00+00:00,317,12,508,33
2021-10-06 00:00:00+00:00,195,15,285,27
2021-10-07 00:00:00+00:00,365,14,692,27
2021-10-08 00:00:00+00:00,345,16,710,38
2021-10-09 00:00:00+00:00,12,7,25,10
2021-10-10 00:00:00+00:00,11,5,41,13
2021-10-11 00:00:00+00:00,41,5,82,24
2021-10-12 00:00:00+00:00,267,54,361,28
2021-10-13 00:00:00+00:00,455,78,447,33
2021-10-14 00:00:00+00:00,1188,74,519,31
2021-10-15 00:00:00+00:00,327,46,410,34
2021-10-16 00:00:00+00:00,88,42,18,5
2021-10-17 00:00:00+00:00,82,31,34,16
