time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-12 00:00:00+00:00,326,23,40,16
2024-10-13 00:00:00+00:00,323,19,31,14
2024-10-14 00:00:00+00:00,328,31,197,60
2024-10-15 00:00:00+00:00,357,49,188,71
2024-10-16 00:00:00+00:00,332,39,112,53
2024-10-17 00:00:00+00:00,329,25,90,44
2024-10-18 00:00:00+00:00,374,30,84,37
2024-10-19 00:00:00+00:00,349,15,77,25
2024-10-20 00:00:00+00:00,327,14,40,13
2024-10-21 00:00:00+00:00,317,23,68,44
2024-10-22 00:00:00+00:00,301,29,101,51
2024-10-23 00:00:00+00:00,358,39,150,54
2024-10-24 00:00:00+00:00,371,38,194,51
2024-10-25 00:00:00+00:00,264,30,111,47
