url_path,views_total,views_unique
/weaveworks/weave-gitops,1016,605
/weaveworks/weave-gitops/tree/main/charts/gitops-server,368,81
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,281,117
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,210,53
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,139,60
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,139,56
/weaveworks/weave-gitops/issues,125,75
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,110,25
/weaveworks/weave-gitops/issues/4197,71,52
/weaveworks/weave-gitops/tree/main/doc,67,23
