time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,249,114,84,31
2026-02-24 00:00:00+00:00,330,168,120,34
2026-02-25 00:00:00+00:00,635,128,138,43
2026-02-26 00:00:00+00:00,238,140,143,27
2026-02-27 00:00:00+00:00,214,113,76,18
2026-02-28 00:00:00+00:00,227,94,65,18
2026-03-01 00:00:00+00:00,169,91,62,11
2026-03-02 00:00:00+00:00,214,126,69,31
2026-03-03 00:00:00+00:00,396,155,97,27
2026-03-04 00:00:00+00:00,283,133,71,29
2026-03-05 00:00:00+00:00,225,110,84,32
2026-03-06 00:00:00+00:00,276,124,71,28
2026-03-07 00:00:00+00:00,254,71,28,9
2026-03-08 00:00:00+00:00,168,107,21,17
