url_path,views_total,views_unique
/weaveworks/weave-gitops,572,383
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,81,34
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,69,62
/weaveworks/weave-gitops/tree/main/charts/gitops-server,67,30
/weaveworks/weave-gitops/releases,50,36
/weaveworks/weave-gitops/issues,38,23
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,33,33
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,30,16
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,28,24
/weaveworks/weave-gitops/commits/main,24,16
