url_path,views_total,views_unique
/weaveworks/weave-gitops,460,296
/weaveworks/weave-gitops/actions,84,3
/weaveworks/weave-gitops/releases,65,45
/weaveworks/weave-gitops/pulls,50,13
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,49,41
/weaveworks/weave-gitops/tree/main/charts/gitops-server,49,22
/weaveworks/weave-gitops/issues,47,26
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,34,23
/weaveworks/weave-gitops/issues/5223,30,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,26,24
