time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,1672,206,137,48
2025-07-08 00:00:00+00:00,1255,248,155,54
2025-07-09 00:00:00+00:00,924,182,115,53
2025-07-10 00:00:00+00:00,999,159,105,51
2025-07-11 00:00:00+00:00,882,163,70,28
2025-07-12 00:00:00+00:00,326,82,40,19
2025-07-13 00:00:00+00:00,176,61,60,25
2025-07-14 00:00:00+00:00,265,118,99,32
2025-07-15 00:00:00+00:00,413,143,132,42
2025-07-16 00:00:00+00:00,391,191,158,60
2025-07-17 00:00:00+00:00,365,190,128,38
2025-07-18 00:00:00+00:00,250,118,99,32
2025-07-19 00:00:00+00:00,138,64,34,24
2025-07-20 00:00:00+00:00,148,61,22,15
