url_path,views_total,views_unique
/weaveworks/weave-gitops,752,440
/weaveworks/weave-gitops/pulls,150,18
/weaveworks/weave-gitops/tree/main/charts/gitops-server,99,36
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,95,84
/weaveworks/weave-gitops/releases,64,45
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,61,35
/weaveworks/weave-gitops/issues,51,26
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,47,42
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,40,36
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,40,19
