url_path,views_total,views_unique
/weaveworks/weave-gitops,1420,658
/weaveworks/weave-gitops/tree/main/charts/gitops-server,315,110
/weaveworks/weave-gitops/issues,225,55
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,205,84
/weaveworks/weave-gitops/pulls,204,33
/weaveworks/weave-gitops/search,195,28
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,190,122
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,124,104
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,115,48
/weaveworks/weave-gitops/releases,95,68
