referrer,views_total,views_unique
Google,1018,260
github.com,373,103
fluxcd.io,243,122
DuckDuckGo,33,12
codefresh.io,25,11
Bing,25,7
app.zenhub.com,25,1
search.brave.com,16,5
linkedin.com,15,11
com.linkedin.android,15,7
