url_path,views_total,views_unique
/weaveworks/weave-gitops,1048,626
/weaveworks/weave-gitops/tree/main/charts/gitops-server,352,76
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,286,120
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,207,54
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,126,53
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,123,52
/weaveworks/weave-gitops/issues,120,72
/weaveworks/weave-gitops/releases,85,60
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,81,20
/weaveworks/weave-gitops/issues/4197,73,50
