url_path,views_total,views_unique
/weaveworks/weave-gitops,560,361
/weaveworks/weave-gitops/tree/main/charts/gitops-server,79,31
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,59,52
/weaveworks/weave-gitops/issues,51,35
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,41,24
/weaveworks/weave-gitops/releases,34,23
/weaveworks/weave-gitops/tree/main,27,15
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,25,21
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,19,7
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,18,17
