referrer,views_total,views_unique
Google,602,189
github.com,449,87
fluxcd.io,80,46
mail.google.com,35,2
thenewstack.io,28,24
51cto.com,21,1
rajputvaibhav.medium.com,17,15
codefresh.io,15,7
DuckDuckGo,12,4
jira.corp.appdynamics.com,5,3
