time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-01 00:00:00+00:00,1714,85,425,62
2022-08-02 00:00:00+00:00,1656,76,581,83
2022-08-03 00:00:00+00:00,1917,78,700,63
2022-08-04 00:00:00+00:00,1859,80,648,63
2022-08-05 00:00:00+00:00,1894,68,481,68
2022-08-06 00:00:00+00:00,1555,63,163,24
2022-08-07 00:00:00+00:00,1694,81,413,32
2022-08-08 00:00:00+00:00,2067,97,766,69
2022-08-09 00:00:00+00:00,1688,81,617,71
2022-08-10 00:00:00+00:00,1999,89,817,87
2022-08-11 00:00:00+00:00,1861,82,624,79
2022-08-12 00:00:00+00:00,1827,77,514,64
2022-08-13 00:00:00+00:00,1545,67,67,21
2022-08-14 00:00:00+00:00,1406,57,48,22
