referrer,views_total,views_unique
github.com,493,65
Google,95,40
app.zenhub.com,54,6
fluxcd.io,40,19
infoworld.com,15,11
itworld.co.kr,8,8
weave.works,8,5
Bing,3,2
us06st1.zoom.us,2,1
DuckDuckGo,1,1
