referrer,views_total,views_unique
Google,1482,228
github.com,353,102
fluxcd.io,206,113
Bing,146,15
DuckDuckGo,77,16
pkg.go.dev,27,2
statics.teams.cdn.office.net,21,10
com.google.android.gm,14,2
wiki.bierochs.org,12,3
wiki.sits.no,12,1
