url_path,views_total,views_unique
/weaveworks/weave-gitops,1093,622
/weaveworks/weave-gitops/tree/main/charts/gitops-server,370,80
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,276,114
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,215,54
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,177,69
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,142,62
/weaveworks/weave-gitops/issues,115,75
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,89,37
/weaveworks/weave-gitops/blob/main/doc/img/06-runtime.png,77,33
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,74,18
