url_path,views_total,views_unique
/weaveworks/weave-gitops,398,272
/weaveworks/weave-gitops/releases,87,56
/weaveworks/weave-gitops/actions,80,2
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,45,42
/weaveworks/weave-gitops/pulls,45,9
/weaveworks/weave-gitops/issues,40,20
/weaveworks/weave-gitops/releases/tag/v0.39.1-rc.1,33,25
/weaveworks/weave-gitops/tree/main/charts/gitops-server,29,11
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,22,20
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,22,9
