referrer,views_total,views_unique
Google,1223,249
github.com,322,61
fluxcd.io,178,46
pkg.go.dev,32,1
DuckDuckGo,29,8
Bing,13,9
teams.microsoft.com,12,1
codefresh.io,10,4
wiki.bierochs.org,10,3
thenewstack.io,10,3
