time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-30 00:00:00+00:00,4563,173,1079,113
2023-08-31 00:00:00+00:00,4313,145,677,119
2023-09-01 00:00:00+00:00,4788,146,854,84
2023-09-02 00:00:00+00:00,4021,95,143,27
2023-09-03 00:00:00+00:00,4041,99,252,38
2023-09-04 00:00:00+00:00,4213,143,769,114
2023-09-05 00:00:00+00:00,4391,179,1032,115
2023-09-06 00:00:00+00:00,4332,175,1046,128
2023-09-07 00:00:00+00:00,3821,128,860,128
2023-09-08 00:00:00+00:00,3706,124,1423,120
2023-09-09 00:00:00+00:00,3365,24,193,31
2023-09-10 00:00:00+00:00,3304,19,218,37
2023-09-11 00:00:00+00:00,3551,57,723,120
2023-09-12 00:00:00+00:00,3314,56,938,114
