url_path,views_total,views_unique
/weaveworks/weave-gitops,1304,585
/weaveworks/weave-gitops/issues,237,50
/weaveworks/weave-gitops/pulls,211,25
/weaveworks/weave-gitops/tree/main/charts/gitops-server,182,85
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,132,90
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,129,62
/weaveworks/weave-gitops/releases,112,59
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,95,82
/weaveworks/weave-gitops/search,94,23
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,79,30
