url_path,views_total,views_unique
/weaveworks/weave-gitops,1330,690
/weaveworks/weave-gitops/tree/main/charts/gitops-server,659,136
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,464,122
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,240,104
/weaveworks/weave-gitops/issues,228,63
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,163,52
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,158,68
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,156,38
/weaveworks/weave-gitops/pulls,152,21
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,136,63
