referrer,views_total,views_unique
Google,591,160
github.com,589,115
fluxcd.io,50,35
thenewstack.io,31,21
mail.google.com,27,2
com.google.android.gm,21,4
gist.github.com,14,4
rajputvaibhav.medium.com,11,11
Bing,10,3
weave.works,6,2
