referrer,views_total,views_unique
Google,1117,325
github.com,350,103
fluxcd.io,321,155
cncf.io,30,22
Bing,30,9
codefresh.io,24,13
thenewstack.io,17,13
statics.teams.cdn.office.net,14,7
DuckDuckGo,12,9
jira.dkcorpit.com,10,3
