time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,1605,53,67,24
2025-03-02 00:00:00+00:00,1042,43,46,16
2025-03-03 00:00:00+00:00,2161,245,160,44
2025-03-04 00:00:00+00:00,3445,440,542,65
2025-03-05 00:00:00+00:00,1911,296,174,62
2025-03-06 00:00:00+00:00,1796,271,226,64
2025-03-07 00:00:00+00:00,1243,191,140,57
2025-03-08 00:00:00+00:00,990,62,59,26
2025-03-09 00:00:00+00:00,989,58,37,19
2025-03-10 00:00:00+00:00,2015,255,196,67
2025-03-11 00:00:00+00:00,1211,155,134,55
2025-03-12 00:00:00+00:00,1318,182,181,50
2025-03-13 00:00:00+00:00,1220,170,124,46
2025-03-14 00:00:00+00:00,1091,136,138,51
