time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-19 00:00:00+00:00,284,106,75,20
2026-02-20 00:00:00+00:00,222,102,73,23
2026-02-21 00:00:00+00:00,256,97,87,16
2026-02-22 00:00:00+00:00,166,78,26,14
2026-02-23 00:00:00+00:00,249,114,84,31
2026-02-24 00:00:00+00:00,330,168,120,34
2026-02-25 00:00:00+00:00,635,128,138,43
2026-02-26 00:00:00+00:00,238,140,143,27
2026-02-27 00:00:00+00:00,214,113,76,18
2026-02-28 00:00:00+00:00,227,94,65,18
2026-03-01 00:00:00+00:00,169,91,62,11
2026-03-02 00:00:00+00:00,214,126,69,31
2026-03-03 00:00:00+00:00,396,155,97,27
2026-03-04 00:00:00+00:00,283,133,71,29
