url_path,views_total,views_unique
/weaveworks/weave-gitops,1409,684
/weaveworks/weave-gitops/tree/main/charts/gitops-server,363,105
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,247,90
/weaveworks/weave-gitops/issues,247,63
/weaveworks/weave-gitops/search,221,28
/weaveworks/weave-gitops/pulls,202,33
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,178,106
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,160,115
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,134,40
/weaveworks/weave-gitops/releases,100,54
