time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-27 00:00:00+00:00,86,47,130,15
2021-12-28 00:00:00+00:00,90,51,77,10
2021-12-29 00:00:00+00:00,85,49,7,6
2021-12-30 00:00:00+00:00,85,41,67,12
2021-12-31 00:00:00+00:00,36,26,11,8
2022-01-01 00:00:00+00:00,28,7,13,7
2022-01-02 00:00:00+00:00,12,5,27,12
2022-01-03 00:00:00+00:00,12,6,42,11
2022-01-04 00:00:00+00:00,206,43,445,43
2022-01-05 00:00:00+00:00,416,53,590,45
2022-01-06 00:00:00+00:00,397,41,364,36
2022-01-07 00:00:00+00:00,269,36,230,25
2022-01-08 00:00:00+00:00,25,4,32,9
2022-01-09 00:00:00+00:00,61,3,10,7
