time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-11 00:00:00+00:00,52,5,92,16
2021-09-12 00:00:00+00:00,32,3,8,8
2021-09-13 00:00:00+00:00,482,20,511,31
2021-09-14 00:00:00+00:00,464,77,478,38
2021-09-15 00:00:00+00:00,481,85,236,30
2021-09-16 00:00:00+00:00,610,73,548,43
2021-09-17 00:00:00+00:00,268,57,330,25
2021-09-18 00:00:00+00:00,155,48,24,9
2021-09-19 00:00:00+00:00,116,37,27,8
2021-09-20 00:00:00+00:00,227,57,321,37
2021-09-21 00:00:00+00:00,537,74,447,27
2021-09-22 00:00:00+00:00,464,79,404,27
2021-09-23 00:00:00+00:00,503,78,581,30
2021-09-24 00:00:00+00:00,314,61,239,31
