url_path,views_total,views_unique
/weaveworks/weave-gitops,1387,629
/weaveworks/weave-gitops/tree/main/charts/gitops-server,212,96
/weaveworks/weave-gitops/issues,211,54
/weaveworks/weave-gitops/pulls,203,30
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,173,123
/weaveworks/weave-gitops/search,138,25
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,137,117
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,121,58
/weaveworks/weave-gitops/releases,81,54
/weaveworks/weave-gitops/pull/3308,60,8
