time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,244,115,55,31
2026-04-09 00:00:00+00:00,196,107,76,29
2026-04-10 00:00:00+00:00,210,109,76,31
2026-04-11 00:00:00+00:00,163,78,18,13
2026-04-12 00:00:00+00:00,211,80,46,20
2026-04-13 00:00:00+00:00,229,113,67,20
2026-04-14 00:00:00+00:00,394,120,99,32
2026-04-15 00:00:00+00:00,240,115,94,27
2026-04-16 00:00:00+00:00,201,79,50,16
2026-04-17 00:00:00+00:00,194,85,57,27
2026-04-18 00:00:00+00:00,209,51,35,14
2026-04-19 00:00:00+00:00,145,67,61,16
2026-04-20 00:00:00+00:00,323,133,72,29
2026-04-21 00:00:00+00:00,235,108,72,32
