referrer,views_total,views_unique
Google,521,189
github.com,479,106
fluxcd.io,61,38
thenewstack.io,25,23
rajputvaibhav.medium.com,20,17
DuckDuckGo,19,6
com.google.android.gm,12,3
codefresh.io,7,6
gist.github.com,4,2
statics.teams.cdn.office.net,3,3
