time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,2566,365,305,38
2025-06-17 00:00:00+00:00,1524,289,119,46
2025-06-18 00:00:00+00:00,1252,188,82,30
2025-06-19 00:00:00+00:00,2740,284,110,36
2025-06-20 00:00:00+00:00,1179,207,82,42
2025-06-21 00:00:00+00:00,760,106,73,27
2025-06-22 00:00:00+00:00,303,102,30,14
2025-06-23 00:00:00+00:00,1145,298,87,46
2025-06-24 00:00:00+00:00,1471,268,85,43
2025-06-25 00:00:00+00:00,1137,184,147,47
2025-06-26 00:00:00+00:00,1657,415,187,47
2025-06-27 00:00:00+00:00,926,222,70,36
2025-06-28 00:00:00+00:00,282,96,14,12
2025-06-29 00:00:00+00:00,336,66,32,15
