time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-05 00:00:00+00:00,4136,47,812,116
2023-10-06 00:00:00+00:00,3965,51,466,82
2023-10-07 00:00:00+00:00,3795,37,206,29
2023-10-08 00:00:00+00:00,3621,26,93,23
2023-10-09 00:00:00+00:00,4206,49,521,92
2023-10-10 00:00:00+00:00,3741,35,616,119
2023-10-11 00:00:00+00:00,3642,56,1056,129
2023-10-12 00:00:00+00:00,4103,57,640,93
2023-10-13 00:00:00+00:00,3544,37,444,60
2023-10-14 00:00:00+00:00,3486,22,106,27
2023-10-15 00:00:00+00:00,3554,23,274,31
2023-10-16 00:00:00+00:00,3807,63,922,107
2023-10-17 00:00:00+00:00,3745,70,619,103
2023-10-18 00:00:00+00:00,3723,43,886,100
