time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-11 00:00:00+00:00,3742,79,440,75
2024-04-12 00:00:00+00:00,3489,60,270,79
2024-04-13 00:00:00+00:00,3415,26,67,20
2024-04-14 00:00:00+00:00,3427,31,163,27
2024-04-15 00:00:00+00:00,3477,97,369,83
2024-04-16 00:00:00+00:00,3546,83,677,102
2024-04-17 00:00:00+00:00,3572,78,432,90
2024-04-18 00:00:00+00:00,3782,133,662,81
2024-04-19 00:00:00+00:00,3476,83,440,79
2024-04-20 00:00:00+00:00,3278,45,103,27
2024-04-21 00:00:00+00:00,3297,44,136,34
2024-04-22 00:00:00+00:00,3519,115,765,104
2024-04-23 00:00:00+00:00,3395,105,451,105
2024-04-24 00:00:00+00:00,3090,104,284,83
